filename,class,bbox
img083418.jpg,0,"[265, 326, 846, 691]"
img085517.jpg,0,"[526, 478, 759, 874]"
img081728.jpg,0,"[0, 407, 1024, 927]"
img088929.jpg,0,"[374, 544, 779, 605]"
img089332.jpg,0,"[210, 417, 505, 631]"
img087847.jpg,0,"[405, 195, 670, 625]"
img082240.jpg,0,"[289, 467, 824, 689]"
img081887.jpg,0,"[538, 441, 725, 729]"
img087286.jpg,0,"[316, 240, 513, 583]"
img080493.jpg,0,"[472, 0, 1024, 1024]"
img080054.jpg,0,"[0, 0, 858, 444]"
img086676.jpg,0,"[409, 537, 479, 702]"
img085672.jpg,0,"[325, 506, 862, 585]"
img080557.jpg,0,"[0, 304, 1024, 646]"
img089174.jpg,0,"[571, 580, 793, 946]"
img080664.jpg,0,"[242, 0, 733, 712]"
img082794.jpg,0,"[547, 239, 1024, 1024]"
img086264.jpg,0,"[348, 215, 626, 560]"
img081942.jpg,0,"[70, 327, 923, 599]"
img081407.jpg,0,"[157, 200, 616, 729]"
img083241.jpg,0,"[312, 197, 1024, 472]"
img087644.jpg,0,"[377, 570, 643, 636]"
img088454.jpg,0,"[384, 592, 725, 661]"
img081298.jpg,0,"[0, 248, 1000, 444]"
img086361.jpg,0,"[385, 520, 695, 761]"
img080904.jpg,0,"[120, 226, 970, 480]"
img089509.jpg,0,"[409, 521, 515, 762]"
img086620.jpg,0,"[286, 348, 386, 734]"
img088912.jpg,0,"[561, 105, 643, 429]"
img082466.jpg,0,"[273, 291, 1024, 458]"
img083055.jpg,0,"[266, 0, 600, 975]"
img089724.jpg,0,"[491, 280, 875, 860]"
img080166.jpg,0,"[56, 278, 1024, 514]"
img089521.jpg,0,"[76, 35, 331, 414]"
img082798.jpg,0,"[0, 207, 514, 704]"
img085858.jpg,0,"[158, 494, 645, 569]"
img084883.jpg,0,"[75, 422, 764, 811]"
img086469.jpg,0,"[287, 510, 673, 767]"
img083710.jpg,0,"[516, 307, 650, 925]"
img082714.jpg,0,"[0, 424, 910, 599]"
img087909.jpg,0,"[156, 636, 530, 728]"
img085423.jpg,0,"[411, 250, 670, 663]"
img087896.jpg,0,"[565, 487, 716, 771]"
img086554.jpg,0,"[203, 548, 388, 971]"
img081927.jpg,0,"[86, 0, 738, 1024]"
img080370.jpg,0,"[0, 175, 1024, 1024]"
img080932.jpg,0,"[399, 201, 599, 1011]"
img081085.jpg,0,"[0, 132, 907, 672]"
img086290.jpg,0,"[324, 473, 407, 883]"
img084634.jpg,0,"[335, 123, 519, 891]"
img080476.jpg,0,"[99, 0, 749, 1024]"
img081956.jpg,0,"[56, 337, 823, 643]"
img082624.jpg,0,"[325, 0, 799, 693]"
img082303.jpg,0,"[128, 0, 530, 813]"
img082157.jpg,0,"[134, 28, 1024, 854]"
img088016.jpg,0,"[589, 512, 712, 921]"
img085785.jpg,0,"[531, 542, 813, 809]"
img083287.jpg,0,"[257, 264, 1024, 410]"
img084580.jpg,0,"[370, 265, 489, 988]"
img084751.jpg,0,"[41, 226, 743, 587]"
img089570.jpg,0,"[576, 281, 670, 722]"
img088744.jpg,0,"[327, 235, 378, 552]"
img087607.jpg,0,"[380, 465, 629, 645]"
img084639.jpg,0,"[126, 636, 973, 765]"
img087892.jpg,0,"[355, 450, 424, 738]"
img084901.jpg,0,"[92, 494, 627, 872]"
img085437.jpg,0,"[286, 592, 487, 757]"
img086368.jpg,0,"[227, 566, 570, 717]"
img088376.jpg,0,"[296, 599, 582, 742]"
img086916.jpg,0,"[102, 538, 522, 616]"
img086200.jpg,0,"[385, 440, 532, 775]"
img080531.jpg,0,"[383, 0, 716, 1024]"
img080487.jpg,0,"[316, 0, 694, 1024]"
img080795.jpg,0,"[0, 0, 905, 856]"
img085807.jpg,0,"[608, 209, 895, 502]"
img088405.jpg,0,"[457, 291, 556, 478]"
img089515.jpg,0,"[465, 575, 826, 720]"
img084924.jpg,0,"[415, 81, 555, 735]"
img085153.jpg,0,"[276, 312, 579, 394]"
img089001.jpg,0,"[338, 513, 433, 702]"
img081668.jpg,0,"[441, 378, 629, 542]"
img081880.jpg,0,"[114, 332, 867, 690]"
img086326.jpg,0,"[468, 146, 549, 649]"
img083940.jpg,0,"[463, 299, 753, 1013]"
img086749.jpg,0,"[418, 199, 677, 544]"
img084603.jpg,0,"[352, 240, 834, 880]"
img081600.jpg,0,"[97, 0, 469, 1024]"
img080693.jpg,0,"[0, 390, 1024, 803]"
img087633.jpg,0,"[237, 278, 655, 513]"
img083112.jpg,0,"[596, 0, 782, 908]"
img085939.jpg,0,"[559, 226, 627, 656]"
img087707.jpg,0,"[98, 288, 475, 583]"
img089849.jpg,0,"[611, 350, 640, 647]"
img087370.jpg,0,"[479, 430, 678, 663]"
img085964.jpg,0,"[639, 177, 766, 580]"
img085571.jpg,0,"[463, 348, 881, 426]"
img089420.jpg,0,"[437, 528, 612, 848]"
